id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
419131,Washington DC,2010-03-29,DA Warner,Nationals Park,0,Washington Nationals,Chicago Cubs,Washington Nationals,bat,Washington Nationals,runs,40,N,NA,SS Hazare,SJA Taufel
419132,Cumberland,2010-03-30,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Hit,Atlanta Braves,wickets,4,N,NA,BR Doctrove,SK Tarapore
419133,Detroit ,2010-03-31,M Vijay,Comerica Park,0,San Francisco Giants,New York Mets,New York Mets,bat,San Francisco Giants,wickets,5,N,NA,BG Jerling,RE Koertzen
419134,Washington DC,2010-03-31,KD Karthik,Nationals Park,0,Washington Nationals,Milwaukee Brewers,Washington Nationals,bat,Washington Nationals,runs,67,N,NA,HDPK Dharmasena,SJA Taufel
419135,Chicago,2010-04-01,SC Ganguly,Guaranteed Rate Field,0,Chicago Cubs,Miami Marlins,Chicago Cubs,bat,Chicago Cubs,runs,24,N,NA,K Hariharan,DJ Harper
419136,Philadelphia,2010-04-02,KP Pietersen,Citizens Bank Park,0,Philadelphia Phillies,New York Mets,Philadelphia Phillies,bat,New York Mets,wickets,6,N,NA,BF Bowden,M Erasmus
419137,Detroit ,2010-04-03,M Vijay,Comerica Park,0,San Francisco Giants,Milwaukee Brewers,San Francisco Giants,bat,San Francisco Giants,runs,23,N,NA,RE Koertzen,RB Tiffin
419138,Cumberland,2010-04-03,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Miami Marlins,Atlanta Braves,Hit,Atlanta Braves,runs,63,N,NA,BR Doctrove,S Ravi
419139,Chicago,2010-04-04,DPMD Jayawardene,Guaranteed Rate Field,0,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,bat,Philadelphia Phillies,wickets,8,N,NA,S Asnani,DJ Harper
419140,Washington DC,2010-04-04,PD Collingwood,Nationals Park,0,Washington Nationals,New York Mets,Washington Nationals,bat,Washington Nationals,runs,37,N,NA,BF Bowden,M Erasmus
419141,San Francisco,2010-04-05,SK Warne,	Oracle Park,0,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,runs,2,N,NA,HDPK Dharmasena,SJA Taufel
419142,Detroit ,2010-04-06,SK Raina,Comerica Park,0,San Francisco Giants,Atlanta Braves,San Francisco Giants,bat,San Francisco Giants,runs,24,N,NA,S Asnani,DJ Harper
419143,Milwaukee,2010-04-07,MJ Lumb,American Family Field,0,Milwaukee Brewers,Philadelphia Phillies,Philadelphia Phillies,bat,Milwaukee Brewers,wickets,9,N,NA,S Ravi,SK Tarapore
419144,Chicago,2010-04-07,SC Ganguly,Guaranteed Rate Field,0,Chicago Cubs,Washington Nationals,Chicago Cubs,bat,Chicago Cubs,runs,14,N,NA,BG Jerling,RE Koertzen
419145,"Queens, New York",2010-04-08,TL Suman,Citi Field,0,New York Mets,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,7,N,NA,S Asnani,DJ Harper
419146,Philadelphia,2010-04-09,KC Sangakkara,Citizens Bank Park,0,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,bat,Philadelphia Phillies,wickets,6,N,NA,M Erasmus,AM Saheba
419147,San Francisco,2010-04-10,RJ Harris,	Oracle Park,0,Miami Marlins,San Francisco Giants,San Francisco Giants,bat,Miami Marlins,wickets,6,N,NA,HDPK Dharmasena,SJA Taufel
419148,"Queens, New York",2010-04-10,R Vinay Kumar,Citi Field,0,New York Mets,Chicago Cubs,New York Mets,field,New York Mets,wickets,7,N,NA,K Hariharan,DJ Harper
419149,Washington DC,2010-04-11,PP Chawla,Nationals Park,0,Washington Nationals,Philadelphia Phillies,Washington Nationals,bat,Philadelphia Phillies,wickets,7,N,NA,BF Bowden,AM Saheba
419150,Milwaukee,2010-04-11,SR Tendulkar,American Family Field,0,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,field,Atlanta Braves,runs,37,N,NA,BR Doctrove,SK Tarapore
419151,San Francisco,2010-04-12,Harmeet Singh,	Oracle Park,0,Miami Marlins,New York Mets,New York Mets,field,Miami Marlins,runs,13,N,NA,RE Koertzen,RB Tiffin
419152,Cumberland,2010-04-13,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Washington Nationals,Atlanta Braves,Hit,Atlanta Braves,runs,39,N,NA,S Asnani,DJ Harper
419153,Detroit ,2010-04-13,R Ashwin,Comerica Park,0,San Francisco Giants,Chicago Cubs,Chicago Cubs,bat,San Francisco Giants,wickets,9,N,NA,SS Hazare,SJA Taufel
419154,Milwaukee,2010-04-14,KP Pietersen,American Family Field,0,Milwaukee Brewers,New York Mets,Milwaukee Brewers,bat,New York Mets,wickets,5,N,NA,BR Doctrove,S Ravi
419155,Detroit ,2010-04-15,G Gambhir,Comerica Park,0,San Francisco Giants,Washington Nationals,San Francisco Giants,bat,Washington Nationals,wickets,6,N,NA,HDPK Dharmasena,SS Hazare
419156,Anaheim,2010-04-16,RG Sharma,Angel Stadium,0,Philadelphia Phillies,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,5,N,NA,M Erasmus,AM Saheba
419157,"Queens, New York",2010-04-17,R McLaren,Citi Field,0,New York Mets,Atlanta Braves,New York Mets,field,Atlanta Braves,runs,57,N,NA,HDPK Dharmasena,SJA Taufel
419158,Chicago,2010-04-17,JD Unadkat,	Guaranteed Rate Field,0,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,bat,Chicago Cubs,wickets,8,N,NA,BG Jerling,RB Tiffin
419159,Anaheim,2010-04-18,MS Dhoni,Angel Stadium,0,Philadelphia Phillies,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,6,N,NA,BF Bowden,AM Saheba
419160,Washington DC,2010-04-18,A Symonds,Nationals Park,0,Washington Nationals,Miami Marlins,Miami Marlins,bat,Miami Marlins,runs,11,N,NA,BR Doctrove,SK Tarapore
419161,Chicago,2010-04-19,M Kartik,	Guaranteed Rate Field,0,Chicago Cubs,Atlanta Braves,Atlanta Braves,bat,Chicago Cubs,wickets,9,N,NA,BG Jerling,RE Koertzen
419162,Cumberland,2010-04-21,KA Pollard,Truist Park,0,New York Mets,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,35,N,NA,BR Doctrove,RB Tiffin
419163,Cumberland,2010-04-22,DE Bollinger,Truist Park,0,San Francisco Giants,Miami Marlins,San Francisco Giants,bat,San Francisco Giants,runs,38,N,NA,BR Doctrove,RB Tiffin
419164,Cumberland,2010-04-24,A Kumble,Truist Park,0,New York Mets,Miami Marlins,Miami Marlins,bat,New York Mets,wickets,9,N,NA,RE Koertzen,SJA Taufel
419165,Cumberland,2010-04-25,SK Raina,Truist Park,0,San Francisco Giants,Atlanta Braves,San Francisco Giants,bat,San Francisco Giants,runs,22,N,NA,RE Koertzen,SJA Taufel
501198,Detroit ,2011-04-08,S Anirudha,Comerica Park,0,San Francisco Giants,Chicago Cubs,San Francisco Giants,bat,San Francisco Giants,runs,2,N,NA,BR Doctrove,PR Reiffel
501199,Pittsburgh,2011-04-09,SK Trivedi,PNC Park,0,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,8,N,NA,RE Koertzen,SK Tarapore
501200,Cincinnati,2011-04-09,Nick Ahmed,	Great American Ball Park,0,Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,Hit,New York Mets,wickets,6,N,NA,HDPK Dharmasena,K Hariharan
501201,Washington DC,2011-04-10,SL Malinga,Nationals Park,0,Washington Nationals,Atlanta Braves,Washington Nationals,bat,Atlanta Braves,wickets,8,N,NA,AM Saheba,RB Tiffin
501202,Cumberland,2011-04-10,SB Wagh,Truist Park,0,Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,bat,Washington Nationals,wickets,7,N,NA,BR Doctrove,PR Reiffel
501203,Chicago,2011-04-11,JH Kallis,	Guaranteed Rate Field,0,Chicago Cubs,Miami Marlins,Chicago Cubs,bat,Chicago Cubs,runs,9,N,NA,RE Koertzen,SK Tarapore
501204,Milwaukee,2011-04-12,SK Warne,American Family Field,0,Milwaukee Brewers,Washington Nationals,Washington Nationals,bat,Milwaukee Brewers,wickets,6,N,NA,Aleem Dar,RB Tiffin
501205,"Queens, New York",2011-04-12,SR Tendulkar,Citi Field,0,New York Mets,Atlanta Braves,Atlanta Braves,field,Atlanta Braves,wickets,9,N,NA,HDPK Dharmasena,AL Hill
501206,Philadelphia,2011-04-13,PC Valthaty,Citizens Bank Park,0,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,Asad Rauf,SL Shastri
501207,Cumberland,2011-04-13,MD Mishra,Truist Park,0,Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,bat,Washington Nationals,wickets,4,N,NA,S Asnani,PR Reiffel
501208,Pittsburgh,2011-04-14,DW Steyn,PNC Park,0,Miami Marlins,New York Mets,New York Mets,field,Miami Marlins,runs,33,N,NA,RE Koertzen,S Ravi
501209,Milwaukee,2011-04-15,G Gambhir,American Family Field,0,Milwaukee Brewers,Chicago Cubs,Chicago Cubs,field,Chicago Cubs,wickets,9,N,NA,Aleem Dar,SS Hazare
501210,Cumberland,2011-04-15,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,Hit,Arizona Diamondbacks,wickets,8,N,NA,BR Doctrove,PR Reiffel
501211,Detroit ,2011-04-16,MEK Hussey,Comerica Park,0,San Francisco Giants,New York Mets,San Francisco Giants,bat,San Francisco Giants,runs,21,N,NA,HDPK Dharmasena,AL Hill
501212,Pittsburgh,2011-04-16,PC Valthaty,PNC Park,0,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,8,N,NA,RE Koertzen,S Ravi
501213,Cumberland,2011-04-17,Yuvraj Singh,Truist Park,0,Washington Nationals,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,3,N,NA,Asad Rauf,AM Saheba
501214,Chicago,2011-04-17,L Balaji,	Guaranteed Rate Field,0,Chicago Cubs,Milwaukee Brewers,Chicago Cubs,field,Chicago Cubs,wickets,8,N,NA,Aleem Dar,RB Tiffin
501215,Cincinnati,2011-04-18,Nick Ahmed,	Great American Ball Park,0,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,Hit,Arizona Diamondbacks,wickets,7,N,D/L,K Hariharan,AL Hill
501216,Washington DC,2011-04-19,S Sohal,Nationals Park,0,Washington Nationals,Miami Marlins,Miami Marlins,bat,Miami Marlins,runs,16,N,NA,PR Reiffel,RJ Tucker
501218,Cumberland,2011-04-20,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Washington Nationals,Washington Nationals,Hit,Atlanta Braves,wickets,7,N,NA,Asad Rauf,AM Saheba
501219,Chicago,2011-04-20,DPMD Jayawardene,	Guaranteed Rate Field,0,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,field,Arizona Diamondbacks,runs,6,N,NA,Aleem Dar,RB Tiffin
501220,Philadelphia,2011-04-21,SE Marsh,Citizens Bank Park,0,Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers,field,Philadelphia Phillies,runs,48,N,NA,S Asnani,PR Reiffel
501221,Cumberland,2011-04-22,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,San Francisco Giants,San Francisco Giants,Hit,Atlanta Braves,runs,8,N,NA,Asad Rauf,AM Saheba
501222,Chicago,2011-04-22,CH Gayle,	Guaranteed Rate Field,0,Chicago Cubs,New York Mets,New York Mets,field,New York Mets,wickets,9,N,NA,SS Hazare,RB Tiffin
501223,Washington DC,2011-04-23,DA Warner,Nationals Park,0,Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,field,Washington Nationals,runs,29,N,NA,S Asnani,RE Koertzen
501224,Pittsburgh,2011-04-24,SL Malinga,PNC Park,0,Miami Marlins,Atlanta Braves,Miami Marlins,field,Atlanta Braves,runs,37,N,NA,HDPK Dharmasena,AL Hill
501225,Milwaukee,2011-04-24,SK Warne,American Family Field,0,Milwaukee Brewers,Arizona Diamondbacks,Milwaukee Brewers,field,Milwaukee Brewers,wickets,8,N,NA,BR Doctrove,SK Tarapore
501226,Detroit ,2011-04-25,MEK Hussey,Comerica Park,0,San Francisco Giants,Washington Nationals,Washington Nationals,field,San Francisco Giants,runs,25,N,NA,Aleem Dar,RB Tiffin
501227,Washington DC,2011-04-26,V Kohli,Nationals Park,0,Washington Nationals,New York Mets,New York Mets,field,New York Mets,wickets,3,N,NA,S Asnani,RJ Tucker
501228,Cumberland,2011-04-27,DE Bollinger,Truist Park,0,Washington Nationals,San Francisco Giants,Washington Nationals,bat,San Francisco Giants,wickets,8,N,NA,Asad Rauf,SL Shastri
501229,Cincinnati,2011-04-27,Nick Ahmed,	Great American Ball Park,0,Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks,Hit,Miami Marlins,runs,55,N,NA,HDPK Dharmasena,AL Hill
501230,Washington DC,2011-04-28,MK Tiwary,Nationals Park,0,Washington Nationals,Chicago Cubs,Washington Nationals,field,Chicago Cubs,runs,17,N,NA,PR Reiffel,RJ Tucker
501231,Milwaukee,2011-04-29,J Botha,American Family Field,0,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,field,Milwaukee Brewers,wickets,7,N,NA,Asad Rauf,SK Tarapore
501232,"Queens, New York",2011-04-29,V Kohli,Citi Field,0,New York Mets,Washington Nationals,Washington Nationals,field,New York Mets,runs,26,N,NA,Aleem Dar,SS Hazare
501233,Cincinnati,2011-04-30,Travis Bergen,	Great American Ball Park,0,Arizona Diamondbacks,Washington Nationals,Washington Nationals,Pitch,Washington Nationals,runs,38,N,NA,HDPK Dharmasena,AL Hill
501234,Chicago,2011-04-30,Iqbal Abdulla,	Guaranteed Rate Field,0,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,field,Chicago Cubs,wickets,8,N,NA,AM Saheba,SL Shastri
501235,Milwaukee,2011-05-01,LRPL Taylor,American Family Field,0,Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,field,Milwaukee Brewers,wickets,6,N,NA,SK Tarapore,SJA Taufel
501236,Detroit ,2011-05-01,JA Morkel,Comerica Park,0,San Francisco Giants,Miami Marlins,San Francisco Giants,bat,San Francisco Giants,runs,19,N,NA,Aleem Dar,RB Tiffin
501237,Cumberland,2011-05-02,Matt Adams,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,Hit,Atlanta Braves,runs,23,N,NA,HDPK Dharmasena,PR Reiffel
501238,Washington DC,2011-05-02,P Parameswaran,Nationals Park,0,Washington Nationals,Arizona Diamondbacks,Cincinnati Reds,field,Arizona Diamondbacks,wickets,7,N,NA,Asad Rauf,SL Shastri
501239,Pittsburgh,2011-05-03,YK Pathan,PNC Park,0,Miami Marlins,Chicago Cubs,Miami Marlins,field,Chicago Cubs,runs,20,N,NA,S Asnani,RJ Tucker
501240,Detroit ,2011-05-04,MEK Hussey,Comerica Park,0,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,bat,San Francisco Giants,wickets,8,N,NA,SS Hazare,RB Tiffin
501241,Cumberland,2011-05-04,R Sharma,Truist Park,0,Washington Nationals,Atlanta Braves,Washington Nationals,field,Atlanta Braves,runs,21,N,NA,HDPK Dharmasena,SJA Taufel
501242,Cincinnati,2011-05-05,Travis Bergen,	Great American Ball Park,0,Arizona Diamondbacks,Chicago Cubs,Chicago Cubs,Pitch,Arizona Diamondbacks,runs,17,N,NA,S Ravi,RJ Tucker
501243,Pittsburgh,2011-05-05,V Sehwag,PNC Park,0,Miami Marlins,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,4,N,NA,Asad Rauf,AM Saheba
501244,"Queens, New York",2011-05-06,CH Gayle,Citi Field,0,New York Mets,Philadelphia Phillies,Philadelphia Phillies,field,New York Mets,runs,85,N,NA,Aleem Dar,RB Tiffin
501245,Chicago,2011-05-07,Iqbal Abdulla,	Guaranteed Rate Field,0,Chicago Cubs,San Francisco Giants,San Francisco Giants,bat,Chicago Cubs,runs,10,N,D/L,Asad Rauf,PR Reiffel
501246,Cumberland,2011-05-07,Matt Adams,Truist Park,0,Atlanta Braves,Washington Nationals,Washington Nationals,Hit,Atlanta Braves,runs,32,N,NA,K Hariharan,SJA Taufel
501247,"Queens, New York",2011-05-08,CH Gayle,Citi Field,0,New York Mets,Arizona Diamondbacks,Arizona Diamondbacks,bat,New York Mets,wickets,9,N,NA,Aleem Dar,SS Hazare
501248,Philadelphia,2011-05-08,R Sharma,Citizens Bank Park,0,Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,bat,Washington Nationals,wickets,5,N,NA,SK Tarapore,RJ Tucker
501249,Milwaukee,2011-05-09,M Vijay,American Family Field,0,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,field,San Francisco Giants,runs,63,N,NA,K Hariharan,SJA Taufel
501250,Pittsburgh,2011-05-10,MR Marsh,PNC Park,0,Miami Marlins,Washington Nationals,Miami Marlins,bat,Washington Nationals,wickets,6,N,NA,Asad Rauf,AM Saheba
501251,Philadelphia,2011-05-10,BA Bhatt,Citizens Bank Park,0,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,field,Philadelphia Phillies,runs,76,N,NA,SK Tarapore,RJ Tucker
501252,Milwaukee,2011-05-11,S Aravind,American Family Field,0,Milwaukee Brewers,New York Mets,New York Mets,field,New York Mets,wickets,9,N,NA,HDPK Dharmasena,K Hariharan
501253,Detroit ,2011-05-12,MS Dhoni,Comerica Park,0,San Francisco Giants,Washington Nationals,San Francisco Giants,bat,San Francisco Giants,runs,18,N,NA,AM Saheba,SL Shastri
501254,Denver,2011-05-13,Travis Bergen,	Coors Field,0,Arizona Diamondbacks,Philadelphia Phillies,Philadelphia Phillies,Pitch,Philadelphia Phillies,wickets,6,N,NA,S Asnani,RJ Tucker
501255,"Queens, New York",2011-05-14,CH Gayle,Citi Field,0,New York Mets,Chicago Cubs,New York Mets,field,New York Mets,wickets,4,N,D/L,RE Koertzen,RB Tiffin
501256,Cumberland,2011-05-14,Matt Adams,Truist Park,0,Atlanta Braves,Miami Marlins,Miami Marlins,Hit,Miami Marlins,runs,10,N,NA,S Ravi,SK Tarapore
501257,Anaheim,2011-05-15,PP Chawla,Angel Stadium,0,Philadelphia Phillies,Washington Nationals,Washington Nationals,field,Philadelphia Phillies,runs,29,N,NA,Asad Rauf,SL Shastri
501258,Denver,2011-05-15,Silvino Bracho,	Coors Field,0,Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks,field,Arizona Diamondbacks,wickets,8,N,NA,PR Reiffel,RJ Tucker
501259,Cumberland,2011-05-16,A Mishra,Truist Park,0,Washington Nationals,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,6,N,NA,S Ravi,SK Tarapore
501260,Anaheim,2011-05-17,AC Gilchrist,Angel Stadium,0,Philadelphia Phillies,New York Mets,Philadelphia Phillies,bat,Philadelphia Phillies,runs,111,N,NA,Asad Rauf,AM Saheba
501261,Detroit ,2011-05-18,WP Saha,Comerica Park,0,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,bat,San Francisco Giants,runs,11,N,NA,HDPK Dharmasena,RE Koertzen
501262,Cumberland,2011-05-19,YK Pathan,Truist Park,0,Washington Nationals,Chicago Cubs,Chicago Cubs,field,Chicago Cubs,wickets,7,N,NA,S Ravi,SJA Taufel
501263,Cumberland,2011-05-20,Matt Adams,Truist Park,0,Atlanta Braves,Milwaukee Brewers,Atlanta Braves,Hit,Milwaukee Brewers,wickets,10,N,NA,RE Koertzen,PR Reiffel
501264,Anaheim,2011-05-21,S Dhawan,Angel Stadium,0,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,field,Miami Marlins,runs,82,N,NA,Asad Rauf,AM Saheba
501265,Washington DC,2011-05-21,NA,Nationals Park,0,Washington Nationals,Washington Nationals,Washington Nationals,bat,NA,NA,NA,NA,NA,SS Hazare,RJ Tucker
501266,"Queens, New York",2011-05-22,CH Gayle,Citi Field,0,New York Mets,San Francisco Giants,New York Mets,field,New York Mets,wickets,8,N,NA,K Hariharan,RE Koertzen
501267,Chicago,2011-05-22,JEC Franklin,	Guaranteed Rate Field,0,Chicago Cubs,Atlanta Braves,Atlanta Braves,field,Atlanta Braves,wickets,5,N,NA,SK Tarapore,SJA Taufel
501268,Cumberland,2011-05-24,SK Raina,Truist Park,0,New York Mets,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,6,N,NA,Asad Rauf,SJA Taufel
501269,Cumberland,2011-05-25,Matt Adams,Truist Park,0,Atlanta Braves,Chicago Cubs,Atlanta Braves,Hit,Atlanta Braves,wickets,4,N,NA,Asad Rauf,SJA Taufel
501270,Detroit ,2011-05-27,CH Gayle,Comerica Park,0,New York Mets,Atlanta Braves,Atlanta Braves,field,New York Mets,runs,43,N,NA,Asad Rauf,SJA Taufel
501271,Detroit ,2011-05-28,M Vijay,Comerica Park,0,San Francisco Giants,New York Mets,San Francisco Giants,bat,San Francisco Giants,runs,58,N,NA,Asad Rauf,SJA Taufel
548306,Detroit ,2012-04-04,RE Levi,Comerica Park,0,San Francisco Giants,Atlanta Braves,Atlanta Braves,field,Atlanta Braves,wickets,8,N,NA,JD Cloete,SJA Taufel
548307,Chicago,2012-04-05,IK Pathan,	Guaranteed Rate Field,0,Chicago Cubs,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,8,N,NA,S Asnani,HDPK Dharmasena
548308,Cumberland,2012-04-06,Matt Adams,Truist Park,0,Atlanta Braves,Washington Nationals,Atlanta Braves,Hit,Washington Nationals,runs,28,N,NA,AK Chaudhary,SJA Taufel
548309,Milwaukee,2012-04-06,AM Rahane,American Family Field,0,Milwaukee Brewers,Philadelphia Phillies,Philadelphia Phillies,field,Milwaukee Brewers,runs,31,N,NA,BF Bowden,SK Tarapore
548310,"Queens, New York",2012-04-07,AB de Villiers,Citi Field,0,New York Mets,Washington Nationals,Washington Nationals,field,New York Mets,runs,20,N,NA,S Asnani,S Ravi
548311,St. Petersburg,2012-04-07,RA Jadeja,	Tropicana Field,0,Miami Marlins,San Francisco Giants,Miami Marlins,field,San Francisco Giants,runs,74,N,NA,JD Cloete,HDPK Dharmasena
548312,Milwaukee,2012-04-08,BJ Hodge,American Family Field,0,Milwaukee Brewers,Chicago Cubs,Chicago Cubs,field,Milwaukee Brewers,runs,22,N,NA,BF Bowden,VA Kulkarni
548313,San Diego,2012-04-08,MN Samuels,	Petco Park,0,Washington Nationals,Philadelphia Phillies,Washington Nationals,bat,Washington Nationals,runs,22,N,NA,S Das,SJA Taufel
548314,St. Petersburg,2012-04-09,RG Sharma,	Tropicana Field,0,Miami Marlins,Atlanta Braves,Miami Marlins,bat,Atlanta Braves,wickets,5,N,NA,AK Chaudhary,JD Cloete
548315,"Queens, New York",2012-04-10,L Balaji,Citi Field,0,New York Mets,Chicago Cubs,New York Mets,field,Chicago Cubs,runs,42,N,NA,S Ravi,RJ Tucker
548316,Washington DC,2012-04-10,M Morkel,Nationals Park,0,Washington Nationals,San Francisco Giants,Washington Nationals,field,Washington Nationals,wickets,8,N,NA,Asad Rauf,SK Tarapore
548317,Cumberland,2012-04-11,Matt Adams,Truist Park,0,Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers,Hit,Atlanta Braves,runs,27,N,NA,Aleem Dar,BNJ Oxenford
548318,Detroit ,2012-04-12,F du Plessis,Comerica Park,0,San Francisco Giants,New York Mets,New York Mets,bat,San Francisco Giants,wickets,5,N,NA,HDPK Dharmasena,RJ Tucker
548319,Philadelphia,2012-04-12,AD Mascarenhas,Citizens Bank Park,0,Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,field,Philadelphia Phillies,wickets,7,N,NA,VA Kulkarni,SK Tarapore
548320,Chicago,2012-04-13,Shakib Al Hasan,	Guaranteed Rate Field,0,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,bat,Chicago Cubs,wickets,5,N,NA,Asad Rauf,S Asnani
548321,Washington DC,2012-04-19,KP Pietersen,Nationals Park,0,Washington Nationals,Miami Marlins,Miami Marlins,bat,Washington Nationals,wickets,5,N,NA,BF Bowden,SK Tarapore
548322,San Diego,2012-04-14,JD Ryder,	Petco Park,0,Washington Nationals,San Francisco Giants,San Francisco Giants,bat,Washington Nationals,wickets,7,N,NA,Aleem Dar,BNJ Oxenford
548323,Chicago,2012-04-15,SP Narine,	Guaranteed Rate Field,0,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,field,Philadelphia Phillies,runs,2,N,NA,Asad Rauf,S Asnani
548324,"Queens, New York",2012-04-15,AM Rahane,Citi Field,0,New York Mets,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,runs,59,N,NA,JD Cloete,RJ Tucker
548325,Cumberland,2012-04-16,Matt Adams,Truist Park,0,Atlanta Braves,Washington Nationals,Washington Nationals,Hit,Washington Nationals,wickets,7,N,NA,BF Bowden,SK Tarapore
548326,Milwaukee,2012-04-17,BJ Hodge,American Family Field,0,Milwaukee Brewers,Miami Marlins,Miami Marlins,bat,Milwaukee Brewers,wickets,5,N,NA,Aleem Dar,BNJ Oxenford
548327,"Queens, New York",2012-04-17,CH Gayle,Citi Field,0,New York Mets,Washington Nationals,Washington Nationals,bat,New York Mets,wickets,6,N,NA,S Asnani,S Das
548328,Philadelphia,2012-04-18,G Gambhir,Citizens Bank Park,0,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,bat,Chicago Cubs,wickets,8,N,NA,JD Cloete,RJ Tucker
548329,Pittsburgh,2012-05-10,DA Warner,PNC Park,0,Miami Marlins,Washington Nationals,Miami Marlins,bat,Washington Nationals,wickets,9,N,NA,JD Cloete,SJA Taufel
548330,Detroit ,2012-04-19,KMDN Kulasekara,Comerica Park,0,San Francisco Giants,Washington Nationals,Washington Nationals,field,San Francisco Giants,runs,13,N,NA,Asad Rauf,S Das
548331,Philadelphia,2012-04-20,CH Gayle,Citizens Bank Park,0,Philadelphia Phillies,New York Mets,New York Mets,field,New York Mets,wickets,5,N,NA,S Ravi,RJ Tucker
548332,Detroit ,2012-04-21,F du Plessis,Comerica Park,0,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,bat,San Francisco Giants,wickets,7,N,NA,Aleem Dar,BNJ Oxenford
548333,Washington DC,2012-04-21,SC Ganguly,Nationals Park,0,Washington Nationals,Washington Nationals,Washington Nationals,field,Washington Nationals,runs,20,N,NA,Asad Rauf,S Das
548334,Cumberland,2012-04-22,Ian Anderson,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Pitch,Philadelphia Phillies,wickets,6,N,NA,S Ravi,RJ Tucker
548335,Detroit ,2012-04-22,B Lee,Comerica Park,0,Miami Marlins,Chicago Cubs,Chicago Cubs,field,Chicago Cubs,wickets,5,N,NA,BF Bowden,SK Tarapore
548336,Milwaukee,2012-04-23,AB de Villiers,American Family Field,0,Milwaukee Brewers,New York Mets,Milwaukee Brewers,field,New York Mets,runs,46,N,NA,Asad Rauf,S Asnani
548337,San Diego,2012-04-24,V Sehwag,	Petco Park,0,Washington Nationals,Washington Nationals,Washington Nationals,bat,Washington Nationals,wickets,8,N,NA,S Ravi,RJ Tucker
548339,Philadelphia,2012-04-25,AT Rayudu,Citizens Bank Park,0,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,bat,Atlanta Braves,wickets,4,N,NA,Aleem Dar,BNJ Oxenford
548341,San Diego,2012-04-26,CL White,	Petco Park,0,Washington Nationals,Miami Marlins,Miami Marlins,bat,Miami Marlins,runs,18,N,NA,S Ravi,RJ Tucker
